id,busNumber,description,stops
1,1,Car Street to Kunjathbail,Car Street;Mannagudda;Ladyhill;Chilimbi;Urwa Store;Kavoor;MCF colony;Kunjathbail
2,1A,State Bank to Tannirbhavi Beach,State Bank;Lalbagh;Urwa Store;Kuloor;Tannirbhavi Beach
3,1B,State Bank to Kodikal,State Bank;Car Street;Mannagudda;Ladyhill;Chilimbi;Urwa Store;Kodikal
4,1C,State Bank to Kodikal,State Bank;Hampankatta;Shedigudde;Lalbagh;Ladyhill;Kodikal Cross;Kodikal
5,2,State Bank to Mukka,State Bank;Lalbagh;Ashoknagar;Baikampady;Surathkal;Mukka
6,2A,State Bank to Sasihitlu,State Bank;Lalbagh;Ashoknagar;Baikampady;Surathkal;Mukka;Sasihitlu
7,2B,Bengare to Bajpe,Bengare;Tannirbhavi Beach;Kuloor;Panambur;Jokatta;Kaana;Port Temple;Bajpe
8,2C,State Bank to Jokatte,State Bank;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte
9,2D,State Bank to Parkodi,State Bank;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Parkodi
11,2E,Kankanady to Bajpe,Kankanady;Jyothi;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Kalavar;Bajpe
12,2E,Kankanady to Jokatte,Kankanady;Jyothi;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Kalavar;Bajpe
13,2F,Kankanady to Bajpe,Kankanady;Jyothi;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Kalavar;Bajpe
14,2G,Surathkal to Bajpe,Surathkal;Jokatte;Baikampady;Kodikere;Bajpe
15,3A,State Bank to Moodushedde,State Bank;Jyothi;Bendoorwell;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Kudupu;Vamanjoor;Moodushedde
17,3B,Mangaladevi to Moodushedde,Mangaladevi;Kankanady;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Kudupu;Vamanjoor;Moodushedde
